stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
CTP0052,1047,la Garande,,47.24319,5.11256,,,1,
0053,655,Noblemaire,,47.31125,4.99998,,,0,CTP0053
CTP0053,655,Noblemaire,,47.31125,4.99998,,,1,
0054,656,Echaillons,,47.31129,4.99763,,,0,CTP0054
CTP0054,656,Echaillons,,47.31129,4.99763,,,1,
0055,657,Delestraint,,47.31176,4.99485,,,0,CTP0055
CTP0055,657,Delestraint,,47.31176,4.99485,,,1,
0056,1048,Silo,,47.24084,5.10427,,,0,CTP0056
CTP0056,1048,Silo,,47.24084,5.10427,,,1,
0057,659,Cent Ecus,,47.31022,4.99647,,,0,CTP0057
CTP0057,659,Cent Ecus,,47.31022,4.99647,,,1,
0058,637,Clos Chauveau,,47.31457,5.00112,,,0,CTP0058
CTP0058,637,Clos Chauveau,,47.31457,5.00112,,,1,
0059,638,"Lycee Marcs d'Or",,47.31555,4.99777,,,0,CTP0059
CTP0059,638,"Lycee Marcs d'Or",,47.31555,4.99777,,,1,
0060,639,Paupion,,47.3164,4.99545,,,0,CTP0060
CTP0060,639,Paupion,,47.3164,4.99545,,,1,
0061,640,CFA-BTP,,47.317,4.99114,,,0,CTP0061
CTP0061,640,CFA-BTP,,47.317,4.99114,,,1,
0062,641,Saulx Tavannes,,47.31708,4.98849,,,0,CTP0062
CTP0062,641,Saulx Tavannes,,47.31708,4.98849,,,1,
0064,97,College Champolion,,47.33217,5.07398,,,0,CTP0064
CTP0064,97,College Champolion,,47.33217,5.07398,,,1,
0068,127,Longvic Mairie,,47.28461,5.06301,,,0,CTP0068
CTP0068,127,Longvic Mairie,,47.28461,5.06301,,,1,
0069,1604,"Bles d'Or",,47.28586,5.06661,,,0,CTP0069
CTP0069,1604,"Bles d'Or",,47.28586,5.06661,,,1,
0072,1130,St-Antoine,,47.27491,5.12096,,,0,CTP0072
CTP0072,1130,St-Antoine,,47.27491,5.12096,,,1,
0074,132,Pommerets,,47.29481,5.05548,,,0,CTP0074
CTP0074,132,Pommerets,,47.29481,5.05548,,,1,
0075,133,Tamaris,,47.29663,5.05403,,,0,CTP0075
CTP0075,133,Tamaris,,47.29663,5.05403,,,1,
0076,134,Bourillot,,47.29899,5.05261,,,0,CTP0076
CTP0076,134,Bourillot,,47.29899,5.05261,,,1,
0077,135,Barbusse,,47.30172,5.04987,,,0,CTP0077
CTP0077,135,Barbusse,,47.30172,5.04987,,,1,
0079,137,Chancenotte,,47.30537,5.04765,,,0,CTP0079
CTP0079,137,Chancenotte,,47.30537,5.04765,,,1,
0080,138,Piscine Carrousel,,47.3073,5.04681,,,0,CTP0080
CTP0080,138,Piscine Carrousel,,47.3073,5.04681,,,1,
0081,139,Le Notre,,47.3102,5.04557,,,0,CTP0081
CTP0081,139,Le Notre,,47.3102,5.04557,,,1,
0082,140,Princes de Conde,,47.31354,5.04421,,,0,CTP0082
CTP0082,140,Princes de Conde,,47.31354,5.04421,,,1,
0083,10,Jean Jacques Rousseau,,47.32512,5.04495,,,0,CTP0083
CTP0083,10,Jean Jacques Rousseau,,47.32512,5.04495,,,1,
0085,142,Bibliotheque,,47.31937,5.04300,,,0,CTP0085
CTP0085,142,Bibliotheque,,47.31937,5.04300,,,1,
0089,289,Zipfel,,47.30234,5.06663,,,0,CTP0089
CTP0089,289,Zipfel,,47.30234,5.06663,,,1,
0090,1195,Bouhey,,47.2917,5.05833,,,0,CTP0090
CTP0090,1195,Bouhey,,47.2917,5.05833,,,1,
0091,292,Le Jolivet,,47.30627,5.05953,,,0,CTP0091
CTP0091,292,Le Jolivet,,47.30627,5.05953,,,1,
0093,294,Guibaudet,,47.31053,5.05383,,,0,CTP0093
CTP0093,294,Guibaudet,,47.31053,5.05383,,,1,
0094,295,Prison,,47.3124,5.05159,,,0,CTP0094
CTP0094,295,Prison,,47.3124,5.05159,,,1,
0095,296,De Musset,,47.31435,5.04813,,,0,CTP0095
CTP0095,296,De Musset,,47.31435,5.04813,,,1,
0099,407,Ravel,,47.30112,5.04107,,,0,CTP0099
CTP0099,407,Ravel,,47.30112,5.04107,,,1,
0100,408,Chopin,,47.30268,5.04212,,,0,CTP0100
CTP0100,408,Chopin,,47.30268,5.04212,,,1,
0101,409,Attiret,,47.30397,5.04094,,,0,CTP0101
CTP0101,409,Attiret,,47.30397,5.04094,,,1,
0102,684,Stearinerie,,47.30481,5.03448,,,0,CTP0102
CTP0102,684,Stearinerie,,47.30481,5.03448,,,1,
0104,411,Blanchisseries,,47.30778,5.03749,,,0,CTP0104
CTP0104,411,Blanchisseries,,47.30778,5.03749,,,1,
0105,412,ESPE,,47.30963,5.03811,,,0,CTP0105
CTP0105,412,ESPE,,47.30963,5.03811,,,1,
0106,413,Bordot,,47.31246,5.03991,,,0,CTP0106
CTP0106,413,Bordot,,47.31246,5.03991,,,1,
0107,414,Dumont,,47.3145,5.04168,,,0,CTP0107
CTP0107,414,Dumont,,47.3145,5.04168,,,1,
0111,389,Montmuzard,,47.32503,5.06427,,,0,CTP0111
CTP0111,389,Montmuzard,,47.32503,5.06427,,,1,
0113,829,Parc des sports,,47.3223,5.06611,,,0,CTP0113
CTP0113,829,Parc des sports,,47.3223,5.06611,,,1,
0114,391,Doumer,,47.32194,5.06120,,,0,CTP0114
CTP0114,391,Doumer,,47.32194,5.06120,,,1,
0115,392,Strasbourg,,47.32158,5.05759,,,0,CTP0115
CTP0115,392,Strasbourg,,47.32158,5.05759,,,1,
0116,393,SNCF Porte Neuve,,47.32165,5.05390,,,0,CTP0116
CTP0116,393,SNCF Porte Neuve,,47.32165,5.05390,,,1,
0118,1288,Dupuis,,47.32645,5.03869,,,0,CTP0118
CTP0118,1288,Dupuis,,47.32645,5.03869,,,1,
0123,212,Theatre,,47.32215,5.04363,,,0,CTP0123
CTP0123,212,Theatre,,47.32215,5.04363,,,1,
0125,78,Square Darcy,,47.32411,5.03363,,,0,CTP0125
CTP0125,78,Square Darcy,,47.32411,5.03363,,,1,
0126,28,Spuller,,47.32626,5.03015,,,0,CTP0126
CTP0126,28,Spuller,,47.32626,5.03015,,,1,
0127,29,Genois,,47.32927,5.02525,,,0,CTP0127
CTP0127,29,Genois,,47.32927,5.02525,,,1,
0128,30,Ziem,,47.33139,5.02146,,,0,CTP0128
CTP0128,30,Ziem,,47.33139,5.02146,,,1,
0131,721,Petit Bernard,,47.30716,5.03399,,,0,CTP0131
CTP0131,721,Petit Bernard,,47.30716,5.03399,,,1,
0132,489,Place des Savoirs,,47.33146,5.06739,,,0,CTP0132
CTP0132,489,Place des Savoirs,,47.33146,5.06739,,,1,
0133,488,Seguin,,47.33252,5.06838,,,0,CTP0133
CTP0133,488,Seguin,,47.33252,5.06838,,,1,
0134,490,Sainte Bernadette,,47.33128,5.06526,,,0,CTP0134
CTP0134,490,Sainte Bernadette,,47.33128,5.06526,,,1,
0135,863,"D'Alembert",,47.33108,5.06406,,,0,CTP0135
CTP0135,863,"D'Alembert",,47.33108,5.06406,,,1,
0136,1223,De Brosses,,47.32411,5.03689,,,0,CTP0136
CTP0136,1223,De Brosses,,47.32411,5.03689,,,1,
0138,493,Palais des Congres,,47.32859,5.05293,,,0,CTP0138
CTP0138,493,Palais des Congres,,47.32859,5.05293,,,1,
0143,240,Corvee,,47.30825,5.02358,,,0,CTP0143
CTP0143,240,Corvee,,47.30825,5.02358,,,1,
0144,241,Peyvets,,47.30657,5.02257,,,0,CTP0144
CTP0144,241,Peyvets,,47.30657,5.02257,,,1,
0146,243,Billetottes,,47.30186,5.01836,,,0,CTP0146
CTP0146,243,Billetottes,,47.30186,5.01836,,,1,
0147,244,Mairey,,47.3007,5.01699,,,0,CTP0147
CTP0147,244,Mairey,,47.3007,5.01699,,,1,
0148,245,Gambetta,,47.29815,5.01384,,,0,CTP0148
CTP0148,245,Gambetta,,47.29815,5.01384,,,1,
0149,246,Bazin,,47.29561,5.01163,,,0,CTP0149
CTP0149,246,Bazin,,47.29561,5.01163,,,1,
0152,249,Foussets,,47.2885,5.00584,,,0,CTP0152
CTP0152,249,Foussets,,47.2885,5.00584,,,1,
0153,250,Curie,,47.28641,5.00384,,,0,CTP0153
CTP0153,250,Curie,,47.28641,5.00384,,,1,
0154,251,Bicentenaire,,47.28527,5.00563,,,0,CTP0154
CTP0154,251,Bicentenaire,,47.28527,5.00563,,,1,
0155,253,Langevin,,47.28357,5.00969,,,0,CTP0155
CTP0155,253,Langevin,,47.28357,5.00969,,,1,
0156,228,Dom Plancher,,47.34185,5.04472,,,0,CTP0156
CTP0156,228,Dom Plancher,,47.34185,5.04472,,,1,
0158,230,College Roupnel,,47.33531,5.04411,,,0,CTP0158
CTP0158,230,College Roupnel,,47.33531,5.04411,,,1,
0159,231,Drapeau,,47.33291,5.04396,,,0,CTP0159
CTP0159,231,Drapeau,,47.33291,5.04396,,,1,
0160,232,Lavier,,47.33166,5.04373,,,0,CTP0160
CTP0160,232,Lavier,,47.33166,5.04373,,,1,
0161,1349,Richet,,47.3064,5.01564,,,0,CTP0161
CTP0161,1349,Richet,,47.3064,5.01564,,,1,
0163,702,Pommard,,47.3081,5.01849,,,0,CTP0163
CTP0163,702,Pommard,,47.3081,5.01849,,,1,
0164,703,Fyot,,47.3103,5.01505,,,0,CTP0164
CTP0164,703,Fyot,,47.3103,5.01505,,,1,
0165,663,Roussottes,,47.3123,5.00684,,,0,CTP0165
CTP0165,663,Roussottes,,47.3123,5.00684,,,1,
0169,502,Croix des Valendons,,47.30139,5.00824,,,0,CTP0169
CTP0169,502,Croix des Valendons,,47.30139,5.00824,,,1,
0170,503,Renan,,47.29913,5.00578,,,0,CTP0170
CTP0170,503,Renan,,47.29913,5.00578,,,1,
0171,504,College Chapitre,,47.29657,5.00443,,,0,CTP0171
CTP0171,504,College Chapitre,,47.29657,5.00443,,,1,
0173,380,Bouteiller,,47.32637,5.06901,,,0,CTP0173
CTP0173,380,Bouteiller,,47.32637,5.06901,,,1,
0174,476,Champ Prieur,,47.33068,5.09265,,,0,CTP0174
CTP0174,476,Champ Prieur,,47.33068,5.09265,,,1,
0175,475,Bons Compagnons,,47.33157,5.09125,,,0,CTP0175
CTP0175,475,Bons Compagnons,,47.33157,5.09125,,,1,
0176,373,"Paquier d'Aupre",,47.33185,5.08788,,,0,CTP0176
CTP0176,373,"Paquier d'Aupre",,47.33185,5.08788,,,1,
0177,478,Jacquat,,47.33142,5.08455,,,0,CTP0177
CTP0177,478,Jacquat,,47.33142,5.08455,,,1,
0178,479,Gauthier,,47.3309,5.08117,,,0,CTP0178
CTP0178,479,Gauthier,,47.3309,5.08117,,,1,
0179,385,Longenes,,47.33026,5.07683,,,0,CTP0179
CTP0179,385,Longenes,,47.33026,5.07683,,,1,
0180,386,Castelnau,,47.32965,5.07329,,,0,CTP0180
CTP0180,386,Castelnau,,47.32965,5.07329,,,1,
0182,145,SNCF Brifaut,,47.32443,5.02782,,,0,CTP0182
CTP0182,145,SNCF Brifaut,,47.32443,5.02782,,,1,
0183,146,Bagatelle,,47.32338,5.02192,,,0,CTP0183
CTP0183,146,Bagatelle,,47.32338,5.02192,,,1,
0186,149,Marmuzots,,47.32821,5.01264,,,0,CTP0186
CTP0186,149,Marmuzots,,47.32821,5.01264,,,1,
0187,150,Fontaine aux Fees,,47.32955,5.01068,,,0,CTP0187
CTP0187,150,Fontaine aux Fees,,47.32955,5.01068,,,1,
0188,151,Liberation,,47.33269,5.01040,,,0,CTP0188
CTP0188,151,Liberation,,47.33269,5.01040,,,1,
0189,780,Cottages,,47.33323,5.00883,,,0,CTP0189
CTP0189,780,Cottages,,47.33323,5.00883,,,1,
0190,153,Cote aux Moines,,47.3378,5.00924,,,0,CTP0190
CTP0190,153,Cote aux Moines,,47.3378,5.00924,,,1,
0191,154,Place des Arbaletriers,,47.33815,5.00355,,,0,CTP0191
CTP0191,154,Place des Arbaletriers,,47.33815,5.00355,,,1,
0192,155,Logis de Bourgogne,,47.33901,4.99833,,,0,CTP0192
CTP0192,155,Logis de Bourgogne,,47.33901,4.99833,,,1,
0193,558,"d'Arbaumont",,47.31343,5.05514,,,0,CTP0193
CTP0193,558,"d'Arbaumont",,47.31343,5.05514,,,1,
0194,557,Petites Roches,,47.31333,5.05760,,,0,CTP0194
CTP0194,557,Petites Roches,,47.31333,5.05760,,,1,
0197,274,Mazen Sully,,47.31576,5.07508,,,0,CTP0197
CTP0197,274,Mazen Sully,,47.31576,5.07508,,,1,
0199,824,CREPS,,47.31176,5.08076,,,0,CTP0199
CTP0199,824,CREPS,,47.31176,5.08076,,,1,
0200,1060,Gendarmerie,,47.31701,5.12190,,,0,CTP0200
CTP0200,1060,Gendarmerie,,47.31701,5.12190,,,1,
0201,1061,Croix St Martin,,47.31478,5.12081,,,0,CTP0201
CTP0201,1061,Croix St Martin,,47.31478,5.12081,,,1,
0202,61,Quetignerot,,47.30986,5.10756,,,0,CTP0202
CTP0202,61,Quetignerot,,47.30986,5.10756,,,1,
0203,60,Atria,,47.30848,5.11005,,,0,CTP0203
CTP0203,60,Atria,,47.30848,5.11005,,,1,
0204,201,Quetigny Centre,,47.31379,5.11015,,,0,CTP0204
CTP0204,201,Quetigny Centre,,47.31379,5.11015,,,1,
0205,576,Village Auto,,47.35243,5.06736,,,0,CTP0205
CTP0205,576,Village Auto,,47.35243,5.06736,,,1,
0206,1062,Quetigny Mairie,,47.31231,5.11559,,,0,CTP0206
CTP0206,1062,Quetigny Mairie,,47.31231,5.11559,,,1,
0208,1369,IUT,,47.30975,5.06919,,,0,CTP0208
CTP0208,1369,IUT,,47.30975,5.06919,,,1,
0210,1174,Lechenet,,47.33162,5.07739,,,0,CTP0210
CTP0210,1174,Lechenet,,47.33162,5.07739,,,1,
0211,203,Piscine olympique,,47.3152,5.08186,,,0,CTP0211
CTP0211,203,Piscine olympique,,47.3152,5.08186,,,1,
0212,1370,21e Siecle,,47.30943,5.07195,,,0,CTP0212
CTP0212,1370,21e Siecle,,47.30943,5.07195,,,1,
0213,17,Boulanger,,47.31732,5.06447,,,0,CTP0213
CTP0213,17,Boulanger,,47.31732,5.06447,,,1,
0214,18,Defense,,47.31731,5.06223,,,0,CTP0214
CTP0214,18,Defense,,47.31731,5.06223,,,1,
0215,19,"Creux d'Enfer",,47.31765,5.05837,,,0,CTP0215
CTP0215,19,"Creux d'Enfer",,47.31765,5.05837,,,1,
0217,85,Voltaire,,47.31867,5.05234,,,0,CTP0217
CTP0217,85,Voltaire,,47.31867,5.05234,,,1,
0218,21,Lycee H.Fontaine,,47.31876,5.05082,,,0,CTP0218
CTP0218,21,Lycee H.Fontaine,,47.31876,5.05082,,,1,
0219,22,Saumaise,,47.31968,5.04670,,,0,CTP0219
CTP0219,22,Saumaise,,47.31968,5.04670,,,1,
0220,83,Saumaise,,47.32023,5.04517,,,0,CTP0219
0222,390,Franklin,,47.31713,5.04098,,,0,CTP0222
CTP0222,390,Franklin,,47.31713,5.04098,,,1,
0223,160,Lavoisier,,47.28406,5.04371,,,0,CTP0223
CTP0223,160,Lavoisier,,47.28406,5.04371,,,1,
0227,310,Palissy,,47.28664,5.01707,,,0,CTP0227
CTP0227,310,Palissy,,47.28664,5.01707,,,1,
0230,90,La Gentiane,,47.28012,5.11306,,,0,CTP0230
CTP0230,90,La Gentiane,,47.28012,5.11306,,,1,
0232,481,Les Jardins,,47.3352,5.07518,,,0,CTP0232
CTP0232,481,Les Jardins,,47.3352,5.07518,,,1,
0233,480,Les Buttes,,47.33734,5.07977,,,0,CTP0233
CTP0233,480,Les Buttes,,47.33734,5.07977,,,1,
0234,370,La Planchotte,,47.33666,5.08406,,,0,CTP0234
CTP0234,370,La Planchotte,,47.33666,5.08406,,,1,
0237,1607,Neel,,47.29148,5.04593,,,0,CTP0237
CTP0237,1607,Neel,,47.29148,5.04593,,,1,
0238,396,SNCF Vincenot,,47.32258,5.02630,,,0,CTP0238
CTP0238,396,SNCF Vincenot,,47.32258,5.02630,,,1,
0239,397,Albert 1er,,47.32247,5.01936,,,0,CTP0239
CTP0239,397,Albert 1er,,47.32247,5.01936,,,1,
0240,398,CHS La Chartreuse,,47.32214,5.01092,,,0,CTP0240
CTP0240,398,CHS La Chartreuse,,47.32214,5.01092,,,1,
0241,399,Gorgets,,47.32057,5.00870,,,0,CTP0241
CTP0241,399,Gorgets,,47.32057,5.00870,,,1,
0242,400,Av. du Lac,,47.31902,5.00605,,,0,CTP0242
CTP0242,400,Av. du Lac,,47.31902,5.00605,,,1,
0244,402,Bachelard,,47.31887,5.00139,,,0,CTP0244
CTP0244,402,Bachelard,,47.31887,5.00139,,,1,
0245,403,Champs Perdrix,,47.31986,5.00404,,,0,CTP0245
CTP0245,403,Champs Perdrix,,47.31986,5.00404,,,1,
0246,404,Piscine,,47.32194,5.00207,,,0,CTP0246
CTP0246,404,Piscine,,47.32194,5.00207,,,1,
0251,338,Jura,,47.34243,5.02513,,,0,CTP0251
CTP0251,338,Jura,,47.34243,5.02513,,,1,
0252,331,Ranelagh,,47.34181,5.02923,,,0,CTP0252
CTP0252,331,Ranelagh,,47.34181,5.02923,,,1,
0253,420,Camelias,,47.34131,5.03147,,,0,CTP0253
CTP0253,420,Camelias,,47.34131,5.03147,,,1,
0254,419,Morvan,,47.34078,5.03405,,,0,CTP0254
CTP0254,419,Morvan,,47.34078,5.03405,,,1,
0256,416,Ghys,,47.33606,5.03354,,,0,CTP0256
CTP0256,416,Ghys,,47.33606,5.03354,,,1,
0257,415,Claude Hoin,,47.33383,5.03417,,,0,CTP0257
CTP0257,415,Claude Hoin,,47.33383,5.03417,,,1,
0259,741,Beaune,,47.33113,5.03841,,,0,CTP0259
CTP0259,741,Beaune,,47.33113,5.03841,,,1,
0262,306,Mare,,47.344,5.01690,,,0,CTP0262
CTP0262,306,Mare,,47.344,5.01690,,,1,
0264,795,Combottes,,47.33984,5.01729,,,0,CTP0264
CTP0264,795,Combottes,,47.33984,5.01729,,,1,
0266,302,Amandiers,,47.33764,5.02319,,,0,CTP0266
CTP0266,302,Amandiers,,47.33764,5.02319,,,1,
0267,1245,Peguy,,47.33753,5.01647,,,0,CTP0267
CTP0267,1245,Peguy,,47.33753,5.01647,,,1,
0269,299,Bizet,,47.33231,5.02770,,,0,CTP0269
CTP0269,299,Bizet,,47.33231,5.02770,,,1,
0270,298,Rouen,,47.33111,5.03314,,,0,CTP0270
CTP0270,298,Rouen,,47.33111,5.03314,,,1,
0271,209,Dubois,,47.32517,5.03195,,,0,CTP0271
CTP0271,209,Dubois,,47.32517,5.03195,,,1,
0273,34,Chaumiere,,47.33699,5.01200,,,0,CTP0273
CTP0273,34,Chaumiere,,47.33699,5.01200,,,1,
0274,35,Herriot,,47.33794,5.01042,,,0,CTP0274
CTP0274,35,Herriot,,47.33794,5.01042,,,1,
0275,37,Moulissards,,47.34275,4.99908,,,0,CTP0275
CTP0275,37,Moulissards,,47.34275,4.99908,,,1,
0276,38,Nachey,,47.34072,4.99689,,,0,CTP0276
CTP0276,38,Nachey,,47.34072,4.99689,,,1,
0278,40,Picasso,,47.33788,4.99485,,,0,CTP0278
CTP0278,40,Picasso,,47.33788,4.99485,,,1,
0279,41,Mail,,47.33725,4.99378,,,0,CTP0279
CTP0279,41,Mail,,47.33725,4.99378,,,1,
0280,42,Retisseys,,47.33865,4.99115,,,0,CTP0280
CTP0280,42,Retisseys,,47.33865,4.99115,,,1,
0286,199,Eiffel,,47.28109,5.05003,,,0,CTP0286
CTP0286,199,Eiffel,,47.28109,5.05003,,,1,
0287,309,Route de Beaune,,47.28763,5.01363,,,0,CTP0287
CTP0287,309,Route de Beaune,,47.28763,5.01363,,,1,
0288,300,Vieux Bourg,,47.29149,5.00344,,,0,CTP0288
CTP0288,300,Vieux Bourg,,47.29149,5.00344,,,1,
0290,972,Drouot,,47.31082,5.01030,,,0,CTP0290
CTP0290,972,Drouot,,47.31082,5.01030,,,1,
0291,220,1er Mai,,47.31475,5.02874,,,0,CTP0291
CTP0291,220,1er Mai,,47.31475,5.02874,,,1,
0292,218,Jaures,,47.31081,5.02642,,,0,CTP0292
CTP0292,218,Jaures,,47.31081,5.02642,,,1,
0293,497,Bourroches,,47.3045,5.02295,,,0,CTP0293
CTP0293,497,Bourroches,,47.3045,5.02295,,,1,
0294,498,Carraz,,47.30082,5.02077,,,0,CTP0294
CTP0294,498,Carraz,,47.30082,5.02077,,,1,
0295,575,Pont de Churchil,,47.35156,5.06279,,,0,CTP0295
CTP0295,575,Pont de Churchil,,47.35156,5.06279,,,1,
0296,578,Bailly,,47.35051,5.07869,,,0,CTP0296
CTP0296,578,Bailly,,47.35051,5.07869,,,1,
0298,574,Perrenet,,47.34854,5.06281,,,0,CTP0298
CTP0298,574,Perrenet,,47.34854,5.06281,,,1,
0299,580,Malines,,47.34545,5.07511,,,0,CTP0299
CTP0299,580,Malines,,47.34545,5.07511,,,1,
0300,573,Quignard,,47.3499,5.06903,,,0,CTP0300
CTP0300,573,Quignard,,47.3499,5.06903,,,1,
0301,581,La Breuchilliere,,47.34425,5.07286,,,0,CTP0301
CTP0301,581,La Breuchilliere,,47.34425,5.07286,,,1,
0302,572,Cluj,,47.34607,5.06657,,,0,CTP0302
CTP0302,572,Cluj,,47.34607,5.06657,,,1,
0303,582,La Brot,,47.34294,5.07398,,,0,CTP0303
CTP0303,582,La Brot,,47.34294,5.07398,,,1,
0304,571,Chaput,,47.34437,5.06530,,,0,CTP0304
CTP0304,571,Chaput,,47.34437,5.06530,,,1,
0305,546,Bastogne,,47.34158,5.07445,,,0,CTP0305
CTP0305,546,Bastogne,,47.34158,5.07445,,,1,
0310,1077,Colchide,,47.35394,5.05829,,,0,CTP0310
CTP0310,1077,Colchide,,47.35394,5.05829,,,1,
0311,1018,La Flamme,,47.34559,4.96452,,,0,CTP0311
CTP0311,1018,La Flamme,,47.34559,4.96452,,,1,
0312,1017,Courtois,,47.34404,4.96530,,,0,CTP0312
CTP0312,1017,Courtois,,47.34404,4.96530,,,1,
0313,547,Mayence,,47.33911,5.06419,,,0,CTP0313
CTP0313,547,Mayence,,47.33911,5.06419,,,1,
0314,1015,Victor Hugo,,47.34087,4.97002,,,0,CTP0314
CTP0314,1015,Victor Hugo,,47.34087,4.97002,,,1,
0315,1014,Plombieres Mairie,,47.3399,4.97312,,,0,CTP0315
CTP0315,1014,Plombieres Mairie,,47.3399,4.97312,,,1,
0316,1013,Vallon,,47.33891,4.97583,,,0,CTP0316
CTP0316,1013,Vallon,,47.33891,4.97583,,,1,
0317,1012,Combe aux Fees,,47.33738,4.97984,,,0,CTP0317
CTP0317,1012,Combe aux Fees,,47.33738,4.97984,,,1,
0319,1009,Seize Vannes,,47.33193,4.99076,,,0,CTP0319
CTP0319,1009,Seize Vannes,,47.33193,4.99076,,,1,
0320,1008,Parc a Bateaux,,47.32999,4.99903,,,0,CTP0320
CTP0320,1008,Parc a Bateaux,,47.32999,4.99903,,,1,
0322,1006,CHS La Chartreuse,,47.32268,5.01115,,,0,CTP0240
0324,1297,Beauregard,,47.28081,5.05356,,,0,CTP0324
CTP0324,1297,Beauregard,,47.28081,5.05356,,,1,
0327,745,Transvaal,,47.3154,5.03807,,,0,CTP0327
CTP0327,745,Transvaal,,47.3154,5.03807,,,1,
0329,739,Mazieres,,47.33618,5.03972,,,0,CTP0329
CTP0329,739,Mazieres,,47.33618,5.03972,,,1,
0330,740,Houblonniere,,47.33295,5.03892,,,0,CTP0330
CTP0330,740,Houblonniere,,47.33295,5.03892,,,1,
0331,973,Rossignol Eiffel,,47.31242,5.01018,,,0,CTP0331
CTP0331,973,Rossignol Eiffel,,47.31242,5.01018,,,1,
0332,679,1er Mai Foyer,,47.31471,5.03116,,,0,CTP0332
CTP0332,679,1er Mai Foyer,,47.31471,5.03116,,,1,
0333,901,Alger,,47.31166,5.03282,,,0,CTP0333
CTP0333,901,Alger,,47.31166,5.03282,,,1,
0334,744,Petit-Citeaux,,47.31533,5.03422,,,0,CTP0334
CTP0334,744,Petit-Citeaux,,47.31533,5.03422,,,1,
0336,875,Tournois,,47.30779,5.04163,,,0,CTP0336
CTP0336,875,Tournois,,47.30779,5.04163,,,1,
0337,876,Chancenotte,,47.30567,5.04830,,,0,CTP0079
0338,877,College Lentilleres,,47.30513,5.05212,,,0,CTP0338
CTP0338,877,College Lentilleres,,47.30513,5.05212,,,1,
0340,878,Pejoces,,47.31061,5.06022,,,0,CTP0340
CTP0340,878,Pejoces,,47.31061,5.06022,,,1,
0341,879,Faculte des lettres,,47.31302,5.06287,,,0,CTP0341
CTP0341,879,Faculte des lettres,,47.31302,5.06287,,,1,
0342,881,"Jeanne d'Arc",,47.31824,5.06548,,,0,CTP0342
CTP0342,881,"Jeanne d'Arc",,47.31824,5.06548,,,1,
0343,865,CHU - Hopitaux,,47.31902,5.06534,,,0,CTP0343
CTP0343,865,CHU - Hopitaux,,47.31902,5.06534,,,1,
0345,862,Laplace,,47.33254,5.06305,,,0,CTP0345
CTP0345,862,Laplace,,47.33254,5.06305,,,1,
0348,971,Saint Exupery,,47.33677,5.05555,,,0,CTP0348
CTP0348,971,Saint Exupery,,47.33677,5.05555,,,1,
0349,970,Junot,,47.33952,5.04550,,,0,CTP0349
CTP0349,970,Junot,,47.33952,5.04550,,,1,
